,Crush,White,Raw,Other,Total sugar,Sugar/Crush,Raw/Sugar
11/1/2012,0,0,0,0,0,,
11/2/2012,0,0,0,0,0,,
11/3/2012,0,0,0,0,0,,
11/4/2012,0,0,0,0,0,,
11/5/2012,0,0,0,0,0,,
11/6/2012,0,0,0,0,0,,
11/7/2012,0,0,0,0,0,,
11/8/2012,0,0,0,0,0,,
11/9/2012,0,0,0,0,0,,
11/10/2012,0,0,0,0,0,,
11/11/2012,0,0,0,0,0,,
11/12/2012,0,0,0,0,0,,
11/13/2012,0,0,0,0,0,,
11/14/2012,0,0,0,0,0,,
11/15/2012,22092.33,0,91.73,0,91.73,4.152119763,1
11/16/2012,22612.84,0,467.199,0,467.199,20.66078387,1
11/17/2012,23735.39,0,1243.633,0,1243.633,52.39572638,1
11/18/2012,36072.37,0,1405.294,0,1405.294,38.95762879,1
11/19/2012,49406.61,0,1324.995,0,1324.995,26.81817271,1
11/20/2012,72465.75,0,2024.26,0,2024.26,27.934024,1
11/21/2012,105844.92,158.75,4040.688,0,4199.438,39.67538546,0.962197323
11/22/2012,104783.84,1440.47,5695.559,0,7136.029,68.10238105,0.798141235
11/23/2012,144957.31,910,5943.161,0,6853.161,47.27709834,0.86721456
11/24/2012,154693.26,1222.5,6586.229,270.974,8079.703,52.23047856,0.815157315
11/25/2012,129409.23,1810,6642.621,121.9,8574.521,66.25896004,0.774692954
11/26/2012,168916.38,1715.12,7142.371,294.5,9151.991,54.18060108,0.780417179
11/27/2012,202389.26,2112.1,10798.824,274.96,13185.884,65.15110535,0.818968527
11/28/2012,218291.59,2166.1,12046.657,471.1,14683.857,67.26716774,0.820401411
11/29/2012,205463.845,2254.35,13800.57,574.2,16629.12,80.93453133,0.829903807
11/30/2012,276375.66,2608.05,12178.384,806.7,15593.134,56.4200697,0.781009385
12/1/2012,286282.49,3625.15,14452.708,407.3,18485.158,64.56964238,0.781854718
12/2/2012,308868.88,4151.45,18311.341,478,22940.791,74.27355906,0.798200071
12/3/2012,319477.67,3955.6,18883.893,419.25,23258.743,72.80240588,0.81190514
12/4/2012,364124.47,5317.6,21099.687,408.4,26825.687,73.67175021,0.786547871
12/5/2012,370779.22,5972.24,23862.615,167.5,30002.355,80.91703467,0.795358064
12/6/2012,441778.42,6090.38,24773.357,230.35,31094.087,70.38389743,0.796722444
12/7/2012,457254.825,6250.45,28768.227,230.5,35249.177,77.08869338,0.81613897
12/8/2012,485669.665,6997.32,31087.844,459.31,38544.474,79.36356083,0.806544772
12/9/2012,550426.51,9481.18,34241.308,422.2,44144.688,80.2008755,0.77566089
12/10/2012,571573.4,9221.87,36991.576,423.8,46637.246,81.59450037,0.793176681
12/11/2012,590924.45,9612.92,37736.774,740.4,48090.094,81.38112072,0.784709924
